DH_methods,university
networks,university of virginia
 text mining,university of virginia
 mapping,university of virginia
 data visualization,university of virginia
 databases,university of virginia
 blogging,university of virginia
 pedagogy,university of virginia
pedagogy,ucla
 machine learning/ai/buzzword tech stuff,ucla
networks,university of pittsburgh 
 mapping,university of pittsburgh 
 data visualization,university of pittsburgh 
 databases,university of pittsburgh 
 blogging,university of pittsburgh 
 pedagogy,university of pittsburgh 
 website creation,university of pittsburgh 
networks,cmu
 text mining,cmu
 mapping,cmu
 data visualization,cmu
 databases,cmu
 blogging,cmu
 pedagogy,cmu
 website creation,cmu
 machine learning/ai/buzzword tech stuff,cmu
networks,cmu
 text mining,cmu
 mapping,cmu
 data visualization,cmu
 databases,cmu
 pedagogy,cmu
 website creation,cmu
 machine learning/ai/buzzword tech stuff,cmu
data visualization,duquesne university 
 databases,duquesne university 
 blogging,duquesne university 
 pedagogy,duquesne university 
 website creation,duquesne university 
networks,cmu
 text mining,cmu
 data visualization,cmu
 blogging,cmu
 website creation,cmu
networks,university of pittsburgh 
 mapping,university of pittsburgh 
 website creation,university of pittsburgh 
data visualization,cmu
 databases,cmu
 blogging,cmu
 pedagogy,cmu
networks,duquesne university 
 text mining,duquesne university 
 data visualization,duquesne university 
 blogging,duquesne university 
 pedagogy,duquesne university 
 website creation,duquesne university 
 machine learning/ai/buzzword tech stuff,duquesne university 
